artist_name,count_spotify,count_tiktok,spotify_count,tiktok_count,sizeratio,data_src
Bad Bunny,29.0,,0.0,0.0,0.04489164086687306,spotify
Kendrick Lamar,21.0,,0.0,0.0,0.032507739938080496,spotify
Beyoncé,16.0,,0.0,0.0,0.02476780185758514,spotify
Taylor Swift,8.0,,0.0,0.0,0.01238390092879257,spotify
BTS,8.0,,0.0,0.0,0.01238390092879257,spotify
Labrinth,8.0,,0.0,0.0,0.01238390092879257,spotify
Eminem,7.0,,0.0,0.0,0.010835913312693499,spotify
Gunna,6.0,,0.0,0.0,0.009287925696594427,spotify
Bizarrap,5.0,,0.0,0.0,0.007739938080495356,spotify
Calvin Harris,4.0,,0.0,0.0,0.006191950464396285,spotify
Daddy Yankee,4.0,,0.0,0.0,0.006191950464396285,spotify
Arctic Monkeys,4.0,,0.0,0.0,0.006191950464396285,spotify
Machine Gun Kelly,4.0,,0.0,0.0,0.006191950464396285,spotify
Shawn Mendes,4.0,,0.0,0.0,0.006191950464396285,spotify
XXXTENTACION,4.0,,0.0,0.0,0.006191950464396285,spotify
Nicki Minaj,3.0,,0.0,0.0,0.0046439628482972135,spotify
Tate McRae,3.0,,0.0,0.0,0.0046439628482972135,spotify
Mora,3.0,,0.0,0.0,0.0046439628482972135,spotify
Juice WRLD,3.0,,0.0,0.0,0.0046439628482972135,spotify
Duki,3.0,,0.0,0.0,0.0046439628482972135,spotify
The Chainsmokers,3.0,,0.0,0.0,0.0046439628482972135,spotify
Zé Felipe,3.0,,0.0,0.0,0.0046439628482972135,spotify
Adele,3.0,,0.0,0.0,0.0046439628482972135,spotify
Morgan Wallen,3.0,,0.0,0.0,0.0046439628482972135,spotify
Tiago PZK,3.0,,0.0,0.0,0.0046439628482972135,spotify
J Balvin,3.0,,0.0,0.0,0.0046439628482972135,spotify
TINI,3.0,,0.0,0.0,0.0046439628482972135,spotify
Pharrell Williams,3.0,,0.0,0.0,0.0046439628482972135,spotify
Kanye West,3.0,,0.0,0.0,0.0046439628482972135,spotify
Dr. Dre,2.0,,0.0,0.0,0.0030959752321981426,spotify
Paulo Londra,2.0,,0.0,0.0,0.0030959752321981426,spotify
Lewis Capaldi,2.0,,0.0,0.0,0.0030959752321981426,spotify
OneRepublic,2.0,,0.0,0.0,0.0030959752321981426,spotify
Tyler,2.0,,0.0,0.0,0.0030959752321981426,spotify
Jessica Darrow,2.0,,0.0,0.0,0.0030959752321981426,spotify
Avicii,2.0,,0.0,0.0,0.0030959752321981426,spotify
Polimá Westcoast,2.0,,0.0,0.0,0.0030959752321981426,spotify
Feid,2.0,,0.0,0.0,0.0030959752321981426,spotify
Lauren Spencer Smith,2.0,,0.0,0.0,0.0030959752321981426,spotify
NewJeans,2.0,,0.0,0.0,0.0030959752321981426,spotify
Fivio Foreign,2.0,,0.0,0.0,0.0030959752321981426,spotify
Stephanie Beatriz,2.0,,0.0,0.0,0.0030959752321981426,spotify
Lady Gaga,2.0,,0.0,0.0,0.0030959752321981426,spotify
Coldplay,2.0,,0.0,0.0,0.0030959752321981426,spotify
Nirvana,2.0,,0.0,0.0,0.0030959752321981426,spotify
Marília Mendonça,2.0,,0.0,0.0,0.0030959752321981426,spotify
Ryan Castro,2.0,,0.0,0.0,0.0030959752321981426,spotify
IVE,2.0,,0.0,0.0,0.0030959752321981426,spotify
Sebastian Yatra,2.0,,0.0,0.0,0.0030959752321981426,spotify
Lana Del Rey,2.0,,0.0,0.0,0.0030959752321981426,spotify
BoyWithUke,2.0,,0.0,0.0,0.0030959752321981426,spotify
j-hope,2.0,,0.0,0.0,0.0030959752321981426,spotify
Sleepy Hallow,2.0,,0.0,0.0,0.0030959752321981426,spotify
PSY,1.0,,0.0,0.0,0.0015479876160990713,spotify
Gusttavo Lima,1.0,,0.0,0.0,0.0015479876160990713,spotify
Diane Guerrero,1.0,,0.0,0.0,0.0015479876160990713,spotify
Jovem Dionisio,1.0,,0.0,0.0,0.0015479876160990713,spotify
George Henrique & Rodrigo,1.0,,0.0,0.0,0.0015479876160990713,spotify
Jax Jones,1.0,,0.0,0.0,0.0015479876160990713,spotify
The Goo Goo Dolls,1.0,,0.0,0.0,0.0015479876160990713,spotify
Luciano,1.0,,0.0,0.0,0.0015479876160990713,spotify
Victor Cibrian,1.0,,0.0,0.0,0.0015479876160990713,spotify
TWICE,1.0,,0.0,0.0,0.0015479876160990713,spotify
Red Velvet,1.0,,0.0,0.0,0.0015479876160990713,spotify
Morat,1.0,,0.0,0.0,0.0015479876160990713,spotify
LE SSERAFIM,1.0,,0.0,0.0,0.0015479876160990713,spotify
Leah Kate,1.0,,0.0,0.0,0.0015479876160990713,spotify
John Legend,1.0,,0.0,0.0,0.0015479876160990713,spotify
Matheus Fernandes,1.0,,0.0,0.0,0.0015479876160990713,spotify
Kevin Kaarl,1.0,,0.0,0.0,0.0015479876160990713,spotify
Foo Fighters,1.0,,0.0,0.0,0.0015479876160990713,spotify
Jason Derulo,1.0,,0.0,0.0,0.0015479876160990713,spotify
Yahritza Y Su Esencia,1.0,,0.0,0.0,0.0015479876160990713,spotify
NIKI,1.0,,0.0,0.0,0.0015479876160990713,spotify
Baby Keem,1.0,,0.0,0.0,0.0015479876160990713,spotify
Trueno,1.0,,0.0,0.0,0.0015479876160990713,spotify
Boza,1.0,,0.0,0.0,0.0015479876160990713,spotify
Alesso,1.0,,0.0,0.0,0.0015479876160990713,spotify
Playboi Carti,1.0,,0.0,0.0,0.0015479876160990713,spotify
Fireboy DML,1.0,,0.0,0.0,0.0015479876160990713,spotify
DJ Matt D,1.0,,0.0,0.0,0.0015479876160990713,spotify
Giveon,1.0,,0.0,0.0,0.0015479876160990713,spotify
Travis Scott,1.0,,0.0,0.0,0.0015479876160990713,spotify
Nio Garcia,1.0,,0.0,0.0,0.0015479876160990713,spotify
Kep1er,1.0,,0.0,0.0,0.0015479876160990713,spotify
Duncan Laurence,1.0,,0.0,0.0,0.0015479876160990713,spotify
Stromae,1.0,,0.0,0.0,0.0015479876160990713,spotify
Mari Fernandez,1.0,,0.0,0.0,0.0015479876160990713,spotify
Edison Lighthouse,1.0,,0.0,0.0,0.0015479876160990713,spotify
Joel Corry,1.0,,0.0,0.0,0.0015479876160990713,spotify
Jhay Cortez,1.0,,0.0,0.0,0.0015479876160990713,spotify
Jessi,1.0,,0.0,0.0,0.0015479876160990713,spotify
Mac Miller,1.0,,0.0,0.0,0.0015479876160990713,spotify
King Von,1.0,,0.0,0.0,0.0015479876160990713,spotify
La rappresentante di lista,1.0,,0.0,0.0,0.0015479876160990713,spotify
ENHYPEN,1.0,,0.0,0.0,0.0015479876160990713,spotify
Rkomi,1.0,,0.0,0.0,0.0015479876160990713,spotify
sangiovanni,1.0,,0.0,0.0,0.0015479876160990713,spotify
DJ Robin,1.0,,0.0,0.0,0.0015479876160990713,spotify
MC Tairon,1.0,,0.0,0.0,0.0015479876160990713,spotify
thasup,1.0,,0.0,0.0,0.0015479876160990713,spotify
Nessa Barrett,1.0,,0.0,0.0,0.0015479876160990713,spotify
Jung Kook,1.0,,0.0,0.0,0.0015479876160990713,spotify
SiM,1.0,,0.0,0.0,0.0015479876160990713,spotify
A$AP Rocky,1.0,,0.0,0.0,0.0015479876160990713,spotify
Russ,1.0,,0.0,0.0,0.0015479876160990713,spotify
Irama,1.0,,0.0,0.0,0.0015479876160990713,spotify
Luar La L,1.0,,0.0,0.0,0.0015479876160990713,spotify
Ghost,1.0,,0.0,0.0,0.0015479876160990713,spotify
Kordhell,1.0,,0.0,0.0,0.0015479876160990713,spotify
La Adictiva Banda San José de Mesillas,1.0,,0.0,0.0,0.0015479876160990713,spotify
Beach Weather,1.0,,0.0,0.0,0.0015479876160990713,spotify
Black Eyed Peas,1.0,,0.0,0.0,0.0015479876160990713,spotify
Omah Lay,1.0,,0.0,0.0,0.0015479876160990713,spotify
Dominic Fike,1.0,,0.0,0.0,0.0015479876160990713,spotify
Miksu / Macloud,1.0,,0.0,0.0,0.0015479876160990713,spotify
Luke Combs,1.0,,0.0,0.0,0.0015479876160990713,spotify
MC Rogerinho,1.0,,0.0,0.0,0.0015479876160990713,spotify
Dj Guuga,1.0,,0.0,0.0,0.0015479876160990713,spotify
Jorge & Mateus,1.0,,0.0,0.0,0.0015479876160990713,spotify
David Kushner,1.0,,0.0,0.0,0.0015479876160990713,spotify
Vundabar,1.0,,0.0,0.0,0.0015479876160990713,spotify
Red Hot Chili Peppers,1.0,,0.0,0.0,0.0015479876160990713,spotify
Musical Youth,1.0,,0.0,0.0,0.0015479876160990713,spotify
Matuê,1.0,,0.0,0.0,0.0015479876160990713,spotify
Childish Gambino,1.0,,0.0,0.0,0.0015479876160990713,spotify
Sidhu Moose Wala,1.0,,0.0,0.0,0.0015479876160990713,spotify
Ak4:20,1.0,,0.0,0.0,0.0015479876160990713,spotify
Kehlani,1.0,,0.0,0.0,0.0015479876160990713,spotify
Teto,1.0,,0.0,0.0,0.0015479876160990713,spotify
BIGBANG,1.0,,0.0,0.0,0.0015479876160990713,spotify
Lord Huron,1.0,,0.0,0.0,0.0015479876160990713,spotify
Chefin,1.0,,0.0,0.0,0.0015479876160990713,spotify
Muni Long,1.0,,0.0,0.0,0.0015479876160990713,spotify
Chase Atlantic,1.0,,0.0,0.0,0.0015479876160990713,spotify
Alvaro Diaz,1.0,,0.0,0.0,0.0015479876160990713,spotify
V,1.0,,0.0,0.0,0.0015479876160990713,spotify
Lil Baby,1.0,,0.0,0.0,0.0015479876160990713,spotify
Yung Lean,1.0,,0.0,0.0,0.0015479876160990713,spotify
Felipe Amorim,1.0,,0.0,0.0,0.0015479876160990713,spotify
Daft Punk,1.0,,0.0,0.0,0.0015479876160990713,spotify
Jimin,1.0,,0.0,0.0,0.0015479876160990713,spotify
cakal,1.0,,0.0,0.0,0.0015479876160990713,spotify
t-low,1.0,,0.0,0.0,0.0015479876160990713,spotify
Pusha T,1.0,,0.0,0.0,0.0015479876160990713,spotify
Southside,1.0,,0.0,0.0,0.0015479876160990713,spotify
Alonzo,1.0,,0.0,0.0,0.0015479876160990713,spotify
KALUSH,1.0,,0.0,0.0,0.0015479876160990713,spotify
My Chemical Romance,1.0,,0.0,0.0,0.0015479876160990713,spotify
Chanel,1.0,,0.0,0.0,0.0015479876160990713,spotify
Sam Ryder,1.0,,0.0,0.0,0.0015479876160990713,spotify
Mahmood,1.0,,0.0,0.0,0.0015479876160990713,spotify
Lasso,1.0,,0.0,0.0,0.0015479876160990713,spotify
Aventura,1.0,,0.0,0.0,0.0015479876160990713,spotify
Kodak Black,1.0,,0.0,0.0,0.0015479876160990713,spotify
The Rare Occasions,1.0,,0.0,0.0,0.0015479876160990713,spotify
Swedish House Mafia,1.0,,0.0,0.0,0.0015479876160990713,spotify
Alejo,1.0,,0.0,0.0,0.0015479876160990713,spotify
Xamã,1.0,,0.0,0.0,0.0015479876160990713,spotify
J. Cole,1.0,,0.0,0.0,0.0015479876160990713,spotify
TREASURE,1.0,,0.0,0.0,0.0015479876160990713,spotify
Danny Ocean,1.0,,0.0,0.0,0.0015479876160990713,spotify
Davi Kneip,1.0,,0.0,0.0,0.0015479876160990713,spotify
Christian Nodal,1.0,,0.0,0.0,0.0015479876160990713,spotify
C. Tangana,1.0,,0.0,0.0,0.0015479876160990713,spotify
Sia,1.0,,0.0,0.0,0.0015479876160990713,spotify
Kevin Gates,1.0,,0.0,0.0,0.0015479876160990713,spotify
Coolio,1.0,,0.0,0.0,0.0015479876160990713,spotify
Vance Joy,1.0,,0.0,0.0,0.0015479876160990713,spotify
Queen,1.0,,0.0,0.0,0.0015479876160990713,spotify
Sean Paul,1.0,,0.0,0.0,0.0015479876160990713,spotify
Rvssian,1.0,,0.0,0.0,0.0015479876160990713,spotify
The Killers,1.0,,0.0,0.0,0.0015479876160990713,spotify
4*TOWN (From Disney and Pixar’s Turning Red),1.0,,0.0,0.0,0.0015479876160990713,spotify
AnnenMayKantereit,1.0,,0.0,0.0,0.0015479876160990713,spotify
Em Beihold,1.0,,0.0,0.0,0.0015479876160990713,spotify
Conan Gray,1.0,,0.0,0.0,0.0015479876160990713,spotify
Tulus,1.0,,0.0,0.0,0.0015479876160990713,spotify
Cris Mj,1.0,,0.0,0.0,0.0015479876160990713,spotify
Lost Frequencies,1.0,,0.0,0.0,0.0015479876160990713,spotify
Dove Cameron,1.0,,0.0,0.0,0.0015479876160990713,spotify
Jaymes Young,1.0,,0.0,0.0,0.0015479876160990713,spotify
Farruko,1.0,,0.0,0.0,0.0015479876160990713,spotify
The Walters,1.0,,0.0,0.0,0.0015479876160990713,spotify
Tainy,1.0,,0.0,0.0,0.0015479876160990713,spotify
ACRAZE,1.0,,0.0,0.0,0.0015479876160990713,spotify
Carolina Gaitán - La Gaita,1.0,,0.0,0.0,0.0015479876160990713,spotify
Stray Kids,1.0,,0.0,0.0,0.0015479876160990713,spotify
Dave,1.0,,0.0,0.0,0.0015479876160990713,spotify
PEDRO SAMPAIO,1.0,,0.0,0.0,0.0015479876160990713,spotify
Blessd,1.0,,0.0,0.0,0.0015479876160990713,spotify
La Pantera,1.0,,0.0,0.0,0.0015479876160990713,spotify
Demi Lovato,1.0,,0.0,0.0,0.0015479876160990713,spotify
zzoilo,1.0,,0.0,0.0,0.0015479876160990713,spotify
Zion & Lennox,1.0,,0.0,0.0,0.0015479876160990713,spotify
UZI,1.0,,0.0,0.0,0.0015479876160990713,spotify
Eden Muñoz,1.0,,0.0,0.0,0.0015479876160990713,spotify
Hozier,1.0,,0.0,0.0,0.0015479876160990713,spotify
50 Cent,1.0,,0.0,0.0,0.0015479876160990713,spotify
The Game,1.0,,0.0,0.0,0.0015479876160990713,spotify
Chris Jedi,1.0,,0.0,0.0,0.0015479876160990713,spotify
Metallica,1.0,,0.0,0.0,0.0015479876160990713,spotify
Imanbek,1.0,,0.0,0.0,0.0015479876160990713,spotify
Burna Boy,1.0,,0.0,0.0,0.0015479876160990713,spotify
Tears For Fears,1.0,,0.0,0.0,0.0015479876160990713,spotify
Paloma Faith,1.0,,0.0,0.0,0.0015479876160990713,spotify
The Police,1.0,,0.0,0.0,0.0015479876160990713,spotify
Benson Boone,1.0,,0.0,0.0,0.0015479876160990713,spotify
Mr.Kitty,1.0,,0.0,0.0,0.0015479876160990713,spotify
One Direction,1.0,,0.0,0.0,0.0015479876160990713,spotify
Seafret,1.0,,0.0,0.0,0.0015479876160990713,spotify
Rema,1.0,,0.0,0.0,0.0015479876160990713,spotify
NAYEON,1.0,,0.0,0.0,0.0015479876160990713,spotify
Cigarettes After Sex,1.0,,0.0,0.0,0.0015479876160990713,spotify
Grupo Marca Registrada,1.0,,0.0,0.0,0.0015479876160990713,spotify
Guns N' Roses,1.0,,0.0,0.0,0.0015479876160990713,spotify
